id,'baby-needs','bread-and-cake','baking-needs','coupons','juice-sat-cord-ms','tea','biscuits','canned-fish-meat','canned-fruit','canned-vegetables','breakfast-food','cigs-tobacco-pkts','cigarette-cartons','cleaners-polishers','coffee','sauces-gravy-pkle','confectionary','puddings-deserts','dishcloths-scour','deod-disinfectant','frozen-foods','razor-blades','fuels-garden-aids','spices','jams-spreads','insecticides','pet-foods','laundry-needs','party-snack-foods','tissues-paper-prd','wrapping','dried-vegetables','pkt-canned-soup','soft-drinks','health-food-other','beverages-hot','health&beauty-misc','deodorants-soap','mens-toiletries','medicines','haircare','dental-needs','lotions-creams','sanitary-pads','cough-cold-pain','meat-misc','cheese','chickens','milk-cream','cold-meats','deli-gourmet','margarine','salads','small-goods','dairy-foods','fruit-drinks','delicatessen-misc','beef','hogget','lamb','pet-food','pork','poultry','veal','gourmet-meat','produce-misc','fruit','plants','potatoes','vegetables','flowers','variety-misc','brushware','electrical','haberdashery','kitchen','manchester','pantyhose','plasticware','stationary','prepared-meals','preserving-needs','condiments','cooking-oils','health-food-bulk','bake-off-products','small-goods2','offal','mutton','trim-pork','trim-lamb','imported-cheese','casks-white-wine','casks-red-wine','750ml-white-nz','750ml-red-nz','750ml-white-imp','750ml-red-imp','sparkling-nz','sparkling-imp','brew-kits/accesry','port-and-sherry','ctrled-label-wine'
1321,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f
1322,f,t,t,f,f,f,t,t,f,t,t,f,f,t,f,t,t,f,f,f,t,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,t,f,f,t,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1323,f,f,t,f,t,f,f,f,t,f,t,f,f,f,f,t,f,f,t,f,t,f,f,f,f,f,f,t,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1324,f,t,t,f,t,t,t,t,t,f,t,f,f,f,f,t,t,f,t,t,f,f,f,f,t,f,t,t,t,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,t,f,f,f,t,f,f,t,f,f,f,f,f,f,t,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1325,f,t,t,f,t,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1326,f,t,t,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1327,f,t,f,f,t,f,t,t,t,f,t,f,f,f,f,t,f,t,t,f,t,t,f,t,f,f,t,t,t,t,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,t,f,f,t,f,f,f,f,t,f,f,t,f,t,f,f,f,f,f,t,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1328,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1329,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1330,f,t,t,f,f,f,t,f,f,t,f,t,f,f,f,t,f,f,f,f,t,f,f,f,f,t,t,t,f,t,f,f,f,f,f,f,f,t,f,t,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1331,t,f,f,f,f,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f
1332,f,t,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,t,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
1333,f,f,f,f,f,f,f,f,f,f,t,f,f,t,t,t,f,f,f,t,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,t,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
1334,f,t,t,f,t,f,f,f,t,t,t,f,f,t,f,f,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
1335,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,t,t,f,f,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f
1336,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,t,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1337,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1338,f,t,t,f,t,f,t,f,t,f,t,f,f,f,f,t,f,f,f,f,t,f,f,f,t,t,t,t,t,t,f,f,f,f,f,f,t,f,f,f,t,t,f,f,f,f,t,f,t,t,f,f,f,t,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1339,f,t,t,f,t,f,t,f,f,t,t,f,f,f,t,t,f,t,f,f,t,f,f,f,t,f,f,f,t,f,t,f,f,t,f,t,f,t,f,f,f,t,t,f,f,f,f,f,t,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1340,f,t,f,f,t,f,t,f,f,f,t,f,f,t,t,f,t,f,f,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,t,f,f,t,f,t,f,f,f,f,f,t,f,f,f,t,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1341,t,t,t,f,f,f,f,t,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1342,f,t,t,f,f,t,f,f,f,f,f,f,f,f,t,t,f,t,f,f,f,f,f,t,t,f,f,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,t,t,f,f,t,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f
1343,f,t,f,f,t,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,t,t,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1344,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1345,f,t,f,f,f,f,t,f,f,t,f,f,f,f,f,t,t,t,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1346,f,t,f,f,t,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,f,f,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,t,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1347,f,t,t,f,t,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,t,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1348,f,f,t,f,t,t,t,t,f,t,f,f,f,t,f,t,f,f,f,f,t,f,f,f,t,f,f,t,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1349,t,t,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,t,f,f,f,t,t,t,f,f,f,f,f,f,t,f,f,f,t,f,f,f,t,t,f,t,t,f,t,f,f,t,f,f,t,f,f,t,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1350,f,t,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1351,f,t,t,f,f,f,f,f,f,f,t,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,t,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1352,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f
1353,f,t,t,f,f,f,t,f,f,t,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1354,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,t,f,f,t,f,f,f,f,t,t,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,t,f,t,t,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
1355,f,t,t,f,f,f,t,t,f,t,f,f,f,f,f,f,t,f,f,f,t,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1356,t,t,t,f,t,f,f,f,t,t,t,f,f,f,f,t,t,f,f,f,t,f,f,f,f,t,f,t,t,t,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1357,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,t,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f
1358,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1359,f,f,t,f,f,f,f,t,f,f,f,t,f,f,f,t,t,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1360,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1361,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1362,f,t,t,f,t,f,t,t,t,t,f,f,f,f,f,t,f,t,f,f,t,f,f,f,t,f,t,t,f,t,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,t,f,f,t,f,t,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1363,f,t,f,f,f,f,f,f,t,f,t,f,f,t,f,t,f,f,f,f,f,f,f,f,f,t,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,t,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1364,f,t,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,t,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f
1365,t,t,t,f,t,f,t,f,t,t,f,f,f,f,f,t,f,f,f,f,t,f,f,t,f,f,f,f,f,t,f,f,t,t,f,f,f,t,f,f,f,f,f,f,f,f,t,f,t,f,f,t,f,t,t,f,f,t,f,f,f,f,f,f,f,f,t,f,t,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f
1366,f,f,t,f,t,f,t,f,f,f,f,f,f,f,t,t,f,f,f,t,t,f,f,f,t,f,f,t,f,t,t,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1367,f,t,t,f,t,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,t,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1368,t,t,t,f,f,f,t,f,f,f,t,f,f,f,f,t,t,f,f,f,t,f,f,f,f,t,f,t,f,t,t,f,f,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1369,f,t,f,f,f,f,t,f,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1370,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,t,f,f,f,f,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,t,f,t,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1371,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1372,f,f,f,f,f,f,t,t,t,t,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1373,t,t,t,f,t,t,t,f,t,t,f,f,f,t,f,t,f,f,f,f,t,f,f,f,f,f,t,t,t,t,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,t,f,f,t,f,f,t,f,f,f,t,t,f,f,t,t,f,f,t,f,f,f,t,f,f,f,f,t,t,t,f,f,t,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f
1374,f,t,t,f,t,f,t,t,t,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,t,f,f,t,t,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,t,f,f,t,f,f,f,f,f,t,f,f,f,f,f,t,f,f,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1375,f,t,f,f,f,f,f,f,t,f,t,f,f,f,t,f,t,t,f,f,t,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1376,f,f,t,f,f,f,f,t,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,t,f,t,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1377,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1378,t,t,f,f,t,f,t,f,f,f,t,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,t,f,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1379,f,f,f,f,t,t,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1380,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,t,t,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,t,t,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1381,f,t,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f
1382,f,t,f,f,t,f,t,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,t,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,t,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
1383,f,t,t,f,t,f,f,f,t,f,f,f,f,t,f,t,f,f,f,f,f,f,f,t,f,f,t,f,f,f,f,f,f,f,f,f,f,t,f,f,f,f,f,f,t,f,f,f,t,f,f,t,f,f,t,f,f,f,f,f,t,t,f,f,f,f,f,f,f,t,f,t,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f,f
