Id,itemDescription,InvoiceNum,Quantity
4745,sliced cheese,1831,1
4746,rolls/buns,1832,1
4747,frozen vegetables,1832,1
4748,cat food,1833,1
4749,soda,1833,1
4750,whole milk,1834,2
4751,spread cheese,1835,1
4752,soda,1835,1
4753,bottled beer,1836,1
4754,fruit/vegetable juice,1836,1
4755,rolls/buns,1837,1
4756,frankfurter,1837,1
4757,soda,1837,1
4758,canned fish,1837,1
4759,sausage,1838,1
4760,pasta,1838,1
4761,hygiene articles,1839,1
4762,chocolate,1839,1
4763,soups,1839,1
4764,whole milk,1840,1
4765,pork,1840,1
4766,specialty bar,1841,1
4767,shopping bags,1841,1
4768,pasta,1841,1
4769,whole milk,1842,1
4770,detergent,1842,1
4771,bottled water,1843,1
4772,napkins,1843,1
4773,fruit/vegetable juice,1843,1
4774,hard cheese,1843,1
4775,chicken,1844,1
4776,baking powder,1844,1
4777,curd,1845,1
4778,butter,1845,1
4779,butter milk,1846,1
4780,sausage,1846,1
4781,UHT/milk,1846,1
4782,yogurt,1846,1
4783,canned beer,1846,1
4784,frozen vegetables,1847,1
4785,other vegetables,1847,1
4786,pork,1848,1
4787,whipped/sour cream,1848,1
4788,dishes,1848,1
4789,bottled beer,1849,1
4790,whole milk,1849,1
4791,chicken,1850,1
4792,finished products,1850,1
4793,meat,1850,1
4794,fruit/vegetable juice,1850,1
4795,sausage,1851,1
4796,white wine,1851,1
4797,yogurt,1852,1
4798,whole milk,1852,1
4799,root vegetables,1853,1
4800,cleaner,1853,1
4801,tropical fruit,1854,1
4802,curd,1854,1
4803,chocolate,1854,1
4804,curd,1855,1
4805,whole milk,1855,1
4806,shopping bags,1856,1
4807,beef,1856,1
4808,citrus fruit,1856,1
4809,cat food,1856,1
4810,frankfurter,1857,1
4811,canned beer,1857,1
4812,other vegetables,1857,1
4813,potato products,1857,1
4814,long life bakery product,1858,1
4815,fruit/vegetable juice,1858,1
4816,cat food,1859,1
4817,pet care,1859,1
4818,oil,1859,1
4819,hamburger meat,1860,1
4820,baking powder,1860,1
4821,dessert,1860,1
4822,bottled water,1861,1
4823,hair spray,1861,1
4824,processed cheese,1861,1
4825,whole milk,1862,1
4826,flower (seeds),1862,1
4827,honey,1862,1
4828,chicken,1863,1
4829,frozen fish,1863,1
4830,sugar,1863,1
4831,yogurt,1864,1
4832,domestic eggs,1864,1
4833,frozen vegetables,1864,1
4834,fruit/vegetable juice,1864,1
4835,pip fruit,1865,1
4836,bottled beer,1865,1
4837,sausage,1866,1
4838,canned beer,1866,1
4839,brown bread,1867,1
4840,pot plants,1867,1
4841,rolls/buns,1868,1
4842,yogurt,1868,1
4843,margarine,1869,1
4844,bottled water,1869,1
4845,butter milk,1870,1
4846,yogurt,1870,1
4847,chicken,1871,1
4848,yogurt,1871,1
4849,UHT/milk,1871,1
4850,root vegetables,1871,1
4851,yogurt,1871,1
4852,hard cheese,1871,1
4853,semi/finished bread,1871,1
4854,frozen potato products,1871,1
4855,chocolate,1872,1
4856,liquor,1872,1
4857,citrus fruit,1873,1
4858,domestic eggs,1873,1
4859,other vegetables,1874,1
4860,liquor (appetizer),1874,1
4861,beef,1875,1
4862,canned beer,1875,1
4863,fruit/vegetable juice,1875,1
4864,specialty bar,1876,1
4865,frozen meals,1876,1
4866,kitchen towels,1876,1
4867,whole milk,1876,1
4868,sausage,1877,1
4869,ice cream,1877,1
4870,rolls/buns,1877,1
4871,other vegetables,1878,1
4872,whole milk,1878,1
4873,other vegetables,1879,1
4874,whole milk,1879,1
4875,domestic eggs,1880,1
4876,candy,1880,1
4877,ham,1881,1
4878,soda,1881,1
4879,ice cream,1882,1
4880,shopping bags,1882,1
4881,bottled water,1883,1
4882,curd,1883,1
4883,detergent,1884,1
4884,rolls/buns,1884,1
4885,yogurt,1884,1
4886,chicken,1885,1
4887,domestic eggs,1885,1
4888,whole milk,1886,1
4889,salty snack,1886,1
4890,shopping bags,1886,1
4891,bottled beer,1887,1
4892,fruit/vegetable juice,1887,1
4893,specialty bar,1888,1
4894,yogurt,1888,1
4895,napkins,1888,1
4896,other vegetables,1888,1
4897,chocolate,1888,1
4898,sausage,1889,1
4899,bottled beer,1889,1
4900,whipped/sour cream,1890,1
4901,sparkling wine,1890,1
4902,bottled beer,1890,1
4903,whipped/sour cream,1891,1
4904,citrus fruit,1891,1
4905,root vegetables,1892,1
4906,waffles,1892,1
4907,whole milk,1893,1
4908,pasta,1893,1
4909,bottled water,1894,1
4910,shopping bags,1894,1
4911,rolls/buns,1895,1
4912,whole milk,1895,1
4913,root vegetables,1896,1
4914,soda,1896,1
4915,frankfurter,1897,1
4916,other vegetables,1897,1
4917,bottled beer,1898,1
4918,candy,1898,1
4919,hamburger meat,1899,1
4920,soda,1899,1
4921,hard cheese,1899,1
4922,pastry,1900,1
4923,cat food,1900,1
4924,waffles,1901,1
4925,pasta,1901,1
4926,specialty chocolate,1902,1
4927,shopping bags,1902,1
4928,brown bread,1903,1
4929,oil,1903,1
4930,sausage,1904,1
4931,root vegetables,1904,1
4932,salty snack,1904,1
4933,coffee,1904,1
4934,ice cream,1905,1
4935,hygiene articles,1905,1
4936,frankfurter,1906,1
4937,bottled beer,1906,1
4938,rolls/buns,1907,2
4939,pastry,1908,1
4940,other vegetables,1908,1
4941,frankfurter,1909,1
4942,pork,1909,1
4943,ketchup,1909,1
4944,tropical fruit,1910,1
4945,yogurt,1910,1
4946,butter,1911,1
4947,oil,1911,1
4948,beef,1912,1
4949,other vegetables,1912,1
4950,baking powder,1913,1
4951,yogurt,1913,1
4952,other vegetables,1914,1
4953,berries,1914,1
4954,whole milk,1915,1
4955,salty snack,1915,1
4956,margarine,1915,1
4957,ham,1916,1
4958,seasonal products,1916,1
4959,cat food,1916,1
4960,whole milk,1917,1
4961,waffles,1917,1
4962,shopping bags,1917,1
4963,newspapers,1918,1
4964,long life bakery product,1918,1
4965,napkins,1918,1
4966,tropical fruit,1919,1
4967,domestic eggs,1919,1
4968,chocolate,1919,1
4969,newspapers,1920,1
4970,yogurt,1920,1
4971,margarine,1921,1
4972,frozen meals,1921,1
4973,dish cleaner,1921,1
4974,yogurt,1921,1
4975,sausage,1922,1
4976,ketchup,1922,1
4977,whole milk,1923,1
4978,margarine,1923,1
4979,domestic eggs,1924,1
4980,other vegetables,1924,1
4981,brown bread,1924,1
4982,bottled beer,1925,1
4983,oil,1925,1
4984,ham,1926,1
4985,beef,1926,1
4986,bottled water,1926,1
4987,citrus fruit,1926,1
4988,dishes,1926,1
4989,whipped/sour cream,1927,1
4990,brown bread,1927,1
4991,tropical fruit,1928,1
4992,soda,1928,1
4993,root vegetables,1929,1
4994,dessert,1929,1
4995,UHT/milk,1930,1
4996,cream cheese ,1930,2
4997,waffles,1930,1
4998,sausage,1931,1
4999,bottled beer,1931,1
5000,sliced cheese,1931,1
5001,ham,1932,1
5002,bottled water,1932,1
5003,sugar,1933,1
5004,cat food,1933,1
5005,yogurt,1934,1
5006,rolls/buns,1934,1
5007,domestic eggs,1935,1
5008,other vegetables,1935,1
5009,yogurt,1936,1
5010,shopping bags,1936,1
5011,sausage,1937,1
5012,whole milk,1937,1
5013,yogurt,1937,1
5014,UHT/milk,1938,1
5015,frozen vegetables,1938,1
5016,frozen meals,1938,1
5017,spices,1939,1
5018,soda,1939,1
5019,citrus fruit,1940,1
5020,rolls/buns,1940,1
5021,napkins,1940,1
5022,soda,1940,1
5023,other vegetables,1941,1
5024,domestic eggs,1941,2
5025,whole milk,1942,1
5026,bottled water,1942,1
5027,frozen vegetables,1943,1
5028,tropical fruit,1943,1
5029,whole milk,1944,1
5030,cream cheese ,1944,1
5031,chicken,1945,2
5032,sausage,1946,1
5033,curd,1946,1
5034,preservation products,1947,1
5035,soups,1947,1
5036,frankfurter,1948,1
5037,soda,1948,1
5038,other vegetables,1949,1
5039,margarine,1949,1
5040,bottled water,1949,1
5041,pastry,1950,1
5042,sliced cheese,1950,1
5043,fruit/vegetable juice,1950,1
5044,long life bakery product,1951,1
5045,condensed milk,1951,1
5046,sausage,1952,1
5047,pickled vegetables,1952,1
5048,meat,1953,1
5049,root vegetables,1953,1
5050,liquor (appetizer),1954,1
5051,rolls/buns,1954,1
5052,yogurt,1954,1
5053,whole milk,1955,1
5054,citrus fruit,1955,1
5055,napkins,1955,1
5056,specialty fat,1956,1
5057,red/blush wine,1956,1
5058,citrus fruit,1957,1
5059,other vegetables,1957,1
5060,cream cheese ,1958,1
5061,shopping bags,1958,1
5062,other vegetables,1959,1
5063,pastry,1959,1
5064,pork,1960,1
5065,bottled water,1960,1
5066,pastry,1960,1
5067,shopping bags,1961,1
5068,dessert,1961,1
5069,other vegetables,1961,1
5070,bottled water,1961,1
5071,margarine,1961,1
5072,pastry,1962,1
5073,rolls/buns,1962,1
5074,sliced cheese,1962,1
5075,tropical fruit,1962,1
5076,liquor,1962,1
5077,hygiene articles,1962,1
5078,dental care,1962,1
5079,napkins,1962,2
5080,whole milk,1963,1
5081,pip fruit,1964,1
5082,flour,1964,1
5083,shopping bags,1965,1
5084,soda,1965,1
5085,pork,1966,1
5086,other vegetables,1966,1
5087,whole milk,1967,1
5088,rolls/buns,1967,1
5089,frankfurter,1968,1
5090,canned beer,1968,1
5091,pastry,1968,1
5092,yogurt,1968,1
5093,root vegetables,1969,1
5094,tropical fruit,1969,1
5095,other vegetables,1970,1
5096,yogurt,1970,1
5097,soda,1970,1
5098,bottled water,1971,1
5099,yogurt,1971,1
5100,sausage,1972,1
5101,dessert,1972,1
5102,sausage,1973,1
5103,hamburger meat,1973,1
5104,tropical fruit,1974,1
5105,root vegetables,1974,1
5106,frankfurter,1975,1
5107,margarine,1975,1
5108,pip fruit,1976,1
5109,whipped/sour cream,1976,1
5110,rolls/buns,1976,1
5111,whole milk,1977,1
5112,beef,1977,1
5113,beverages,1977,1
5114,yogurt,1977,1
5115,ham,1978,1
5116,berries,1978,1
5117,skin care,1979,1
5118,frankfurter,1979,1
5119,root vegetables,1979,1
5120,fruit/vegetable juice,1979,1
5121,yogurt,1980,1
5122,pastry,1980,1
5123,hamburger meat,1981,1
5124,popcorn,1981,1
5125,pork,1982,1
5126,whole milk,1982,1
5127,yogurt,1983,1
5128,popcorn,1983,1
5129,tropical fruit,1984,1
5130,whole milk,1984,1
5131,sausage,1985,1
5132,hamburger meat,1985,1
5133,newspapers,1985,1
5134,curd,1986,1
5135,yogurt,1986,1
5136,other vegetables,1987,1
5137,semi/finished bread,1987,1
5138,shopping bags,1987,1
5139,tropical fruit,1988,1
5140,cat food,1988,1
5141,root vegetables,1989,1
5142,brown bread,1989,1
5143,dessert,1990,1
5144,salty snack,1990,1
5145,brown bread,1991,1
5146,hair spray,1991,1
5147,whole milk,1992,1
5148,frozen vegetables,1992,1
5149,semi/finished bread,1992,1
5150,citrus fruit,1993,1
5151,white wine,1993,1
5152,white bread,1994,1
5153,canned fish,1994,1
5154,coffee,1995,1
5155,sugar,1995,1
5156,butter,1996,1
5157,root vegetables,1996,1
5158,bottled water,1996,1
5159,whipped/sour cream,1996,1
5160,red/blush wine,1996,1
5161,onions,1997,1
5162,whole milk,1997,1
5163,cling film/bags,1997,1
5164,whole milk,1998,1
5165,long life bakery product,1998,1
5166,pickled vegetables,1999,1
5167,soda,1999,1
5168,long life bakery product,2000,1
5169,bottled beer,2000,1
5170,other vegetables,2001,1
5171,bottled beer,2001,1
5172,condensed milk,2002,1
5173,pastry,2002,1
5174,domestic eggs,2003,1
5175,coffee,2003,1
5176,pastry,2003,1
5177,liver loaf,2004,1
5178,bottled water,2004,2
5179,rolls/buns,2005,1
5180,beef,2005,1
5181,coffee,2005,1
5182,domestic eggs,2006,1
5183,brown bread,2006,1
5184,specialty chocolate,2006,1
5185,pork,2007,1
5186,cereals,2007,1
5187,potato products,2008,1
5188,oil,2008,1
5189,onions,2009,1
5190,rum,2009,1
5191,tropical fruit,2010,1
5192,yogurt,2010,1
5193,frankfurter,2011,1
5194,syrup,2011,1
5195,soda,2012,1
5196,frozen fish,2012,1
5197,rolls/buns,2012,1
5198,dessert,2013,1
5199,curd,2013,1
5200,mayonnaise,2014,1
5201,instant coffee,2014,1
5202,rolls/buns,2015,1
5203,baby cosmetics,2015,1
5204,baking powder,2016,1
5205,domestic eggs,2016,1
5206,pip fruit,2017,1
5207,UHT/milk,2017,1
5208,soda,2017,1
5209,citrus fruit,2018,1
5210,soda,2018,1
5211,coffee,2018,1
5212,frozen fish,2019,1
5213,mustard,2019,1
5214,other vegetables,2020,1
5215,sliced cheese,2020,1
5216,yogurt,2021,1
5217,other vegetables,2021,1
5218,beef,2022,1
5219,curd,2022,1
5220,tropical fruit,2023,1
5221,sausage,2023,1
5222,tropical fruit,2023,1
5223,detergent,2023,1
5224,butter,2023,1
5225,newspapers,2023,1
5226,pip fruit,2024,1
5227,soda,2024,1
5228,meat,2025,1
5229,canned fish,2025,1
5230,brown bread,2025,1
5231,hygiene articles,2026,1
5232,vinegar,2026,1
5233,rolls/buns,2027,1
5234,liquor (appetizer),2027,1
5235,herbs,2028,1
5236,soft cheese,2028,1
5237,domestic eggs,2029,1
5238,chocolate,2029,1
5239,beef,2030,1
5240,hamburger meat,2030,1
5241,finished products,2031,1
5242,other vegetables,2031,1
5243,sausage,2032,1
5244,other vegetables,2032,1
5245,beef,2033,1
5246,citrus fruit,2033,1
5247,napkins,2033,1
5248,semi/finished bread,2033,1
5249,brown bread,2033,1
5250,white bread,2034,1
5251,salty snack,2034,1
5252,white bread,2035,2
5253,dish cleaner,2036,1
5254,whole milk,2036,1
5255,flower (seeds),2036,1
5256,flour,2036,1
5257,chewing gum,2036,1
5258,dog food,2036,1
5259,sugar,2037,1
5260,coffee,2037,1
5261,dishes,2038,1
5262,onions,2038,1
5263,canned beer,2038,1
5264,onions,2039,1
5265,cream cheese ,2039,1
5266,whole milk,2040,1
5267,domestic eggs,2040,1
5268,long life bakery product,2040,1
5269,yogurt,2041,1
5270,fruit/vegetable juice,2041,1
5271,frankfurter,2042,1
5272,pork,2042,1
5273,frozen vegetables,2043,1
5274,beef,2043,1
5275,snack products,2044,1
5276,soda,2044,1
5277,citrus fruit,2045,1
5278,margarine,2045,1
5279,sliced cheese,2045,1
5280,long life bakery product,2046,1
5281,waffles,2046,1
5282,root vegetables,2047,1
5283,pip fruit,2047,1
5284,tropical fruit,2048,1
5285,yogurt,2048,1
5286,sausage,2049,1
5287,pasta,2049,1
5288,tropical fruit,2050,1
5289,prosecco,2050,1
5290,chewing gum,2051,1
5291,rolls/buns,2051,1
5292,meat,2052,1
5293,domestic eggs,2052,1
5294,condensed milk,2053,1
5295,berries,2053,1
5296,tea,2053,1
5297,frozen vegetables,2053,1
5298,cat food,2053,1
5299,pork,2054,1
5300,whole milk,2054,1
5301,other vegetables,2054,1
5302,tidbits,2054,1
5303,coffee,2054,1
5304,oil,2055,1
5305,chocolate,2055,1
5306,canned beer,2056,1
5307,shopping bags,2056,1
5308,whole milk,2056,1
5309,citrus fruit,2057,1
5310,dessert,2057,1
5311,newspapers,2057,1
5312,berries,2058,1
5313,frozen meals,2058,1
5314,yogurt,2059,1
5315,whole milk,2059,1
5316,shopping bags,2059,1
5317,tropical fruit,2060,1
5318,bottled beer,2060,1
5319,citrus fruit,2061,1
5320,salt,2061,1
5321,whole milk,2062,1
5322,soda,2062,1
5323,other vegetables,2063,1
5324,curd,2063,1
5325,tropical fruit,2064,1
5326,waffles,2064,1
5327,bottled beer,2064,1
5328,grapes,2065,1
5329,ketchup,2065,1
5330,chewing gum,2066,1
5331,pot plants,2066,1
5332,ham,2067,1
5333,frankfurter,2067,1
5334,bottled water,2067,1
5335,shopping bags,2067,1
5336,specialty cheese,2067,1
5337,whipped/sour cream,2068,1
5338,frankfurter,2068,1
5339,rolls/buns,2068,1
5340,citrus fruit,2068,1
5341,candy,2068,1
5342,bottled beer,2068,1
5343,yogurt,2068,1
5344,whole milk,2068,1
5345,onions,2069,1
5346,chocolate,2069,1
5347,candy,2070,1
5348,domestic eggs,2070,1
5349,nuts/prunes,2071,1
5350,coffee,2071,1
5351,other vegetables,2072,1
5352,bottled beer,2072,1
5353,white bread,2072,1
5354,fruit/vegetable juice,2072,1
5355,rolls/buns,2073,1
5356,pastry,2073,1
5357,rolls/buns,2074,1
5358,berries,2074,1
5359,frankfurter,2075,1
5360,yogurt,2075,1
5361,waffles,2075,1
5362,other vegetables,2076,1
5363,whipped/sour cream,2076,1
5364,misc. beverages,2077,1
5365,bottled beer,2077,1
5366,dishes,2077,1
5367,onions,2077,1
5368,sausage,2078,1
5369,bottled beer,2078,1
5370,whole milk,2078,1
5371,frozen vegetables,2078,1
5372,rolls/buns,2079,1
5373,candy,2079,1
5374,finished products,2080,1
5375,frozen vegetables,2080,1
5376,specialty chocolate,2081,1
5377,whipped/sour cream,2081,1
5378,chicken,2082,1
5379,margarine,2082,1
5380,long life bakery product,2082,1
5381,soda,2083,1
5382,candy,2083,1
5383,frankfurter,2084,1
5384,other vegetables,2084,1
5385,specialty bar,2084,1
5386,bottled beer,2085,1
5387,frozen dessert,2085,1
5388,rolls/buns,2085,1
5389,berries,2085,1
5390,rice,2085,1
5391,white bread,2085,1
5392,pastry,2086,1
5393,other vegetables,2086,1
5394,tropical fruit,2087,1
5395,butter,2087,1
5396,misc. beverages,2088,1
5397,oil,2088,1
5398,white bread,2089,1
5399,newspapers,2089,1
5400,frozen fish,2090,1
5401,bottled beer,2090,1
5402,specialty chocolate,2091,1
5403,pork,2091,1
5404,frankfurter,2092,1
5405,brown bread,2092,1
5406,whole milk,2093,1
5407,flour,2093,1
5408,soda,2094,1
5409,onions,2094,1
5410,pastry,2094,1
5411,other vegetables,2095,1
5412,whipped/sour cream,2095,1
5413,hamburger meat,2096,1
5414,cat food,2096,1
5415,margarine,2096,1
5416,butter,2097,1
5417,cat food,2097,1
5418,roll products ,2097,1
5419,whole milk,2098,1
5420,other vegetables,2098,1
5421,dessert,2099,1
5422,whole milk,2099,1
5423,yogurt,2100,1
5424,whole milk,2100,1
5425,rolls/buns,2101,1
5426,newspapers,2101,1
5427,misc. beverages,2102,1
5428,shopping bags,2102,1
5429,white bread,2103,1
5430,seasonal products,2103,1
5431,beef,2104,1
5432,cream cheese ,2104,1
5433,packaged fruit/vegetables,2105,1
5434,bottled beer,2105,1
5435,napkins,2106,1
5436,citrus fruit,2106,1
5437,whole milk,2107,1
5438,beverages,2107,1
5439,frozen vegetables,2108,1
5440,newspapers,2108,1
5441,specialty bar,2109,1
5442,canned beer,2109,1
5443,salty snack,2110,1
5444,canned beer,2110,1
5445,other vegetables,2111,1
5446,whole milk,2111,1
5447,other vegetables,2112,1
5448,pip fruit,2112,1
5449,domestic eggs,2112,1
5450,citrus fruit,2113,1
5451,whole milk,2113,1
5452,citrus fruit,2114,1
5453,chewing gum,2114,1
5454,misc. beverages,2115,1
5455,domestic eggs,2115,1
5456,tropical fruit,2116,1
5457,mustard,2116,1
5458,sliced cheese,2116,1
5459,grapes,2117,1
5460,onions,2117,1
5461,newspapers,2118,1
5462,napkins,2118,1
5463,meat,2119,1
5464,butter,2119,1
5465,shopping bags,2120,1
5466,sparkling wine,2120,1
5467,curd,2121,1
5468,shopping bags,2121,1
5469,sausage,2122,1
5470,margarine,2122,1
5471,sliced cheese,2123,1
5472,cat food,2123,1
5473,soda,2124,1
5474,pip fruit,2124,1
5475,sugar,2124,1
5476,brown bread,2124,1
5477,sliced cheese,2125,1
5478,liquor,2125,1
5479,hygiene articles,2125,1
5480,citrus fruit,2126,1
5481,dessert,2126,1
5482,bottled water,2126,1
5483,frankfurter,2127,1
5484,sausage,2127,1
5485,pastry,2127,1
5486,newspapers,2127,2
5487,honey,2127,1
5488,bottled water,2128,1
5489,pastry,2128,1
5490,fruit/vegetable juice,2128,1
5491,yogurt,2129,1
5492,long life bakery product,2129,1
5493,onions,2129,1
5494,hygiene articles,2129,1
5495,sugar,2129,1
5496,frankfurter,2130,1
5497,cream cheese ,2130,1
5498,long life bakery product,2130,1
5499,rolls/buns,2131,1
5500,soda,2131,1
5501,curd,2131,1
5502,dessert,2131,1
5503,UHT/milk,2132,1
5504,pastry,2132,1
5505,pet care,2133,1
5506,whole milk,2133,1
5507,other vegetables,2134,1
5508,yogurt,2134,1
5509,fruit/vegetable juice,2135,1
5510,margarine,2135,1
5511,tropical fruit,2136,1
5512,rolls/buns,2136,1
5513,soda,2137,1
5514,whole milk,2137,1
5515,pip fruit,2138,1
5516,rolls/buns,2138,1
5517,citrus fruit,2139,1
5518,soda,2139,1
5519,butter,2139,1
5520,hard cheese,2139,1
5521,hygiene articles,2140,1
5522,skin care,2140,1
5523,other vegetables,2141,1
5524,whole milk,2141,1
5525,yogurt,2141,1
5526,hard cheese,2141,1
5527,bottled beer,2141,1
5528,yogurt,2142,1
5529,shopping bags,2142,1
5530,rolls/buns,2143,1
5531,frozen vegetables,2143,1
5532,curd,2144,1
5533,margarine,2144,1
5534,sausage,2145,1
5535,zwieback,2145,1
5536,jam,2145,1
5537,pork,2146,1
5538,beverages,2146,1
5539,dishes,2146,1
5540,root vegetables,2147,1
5541,processed cheese,2147,1
5542,dessert,2148,1
5543,butter,2148,1
5544,hamburger meat,2149,1
5545,root vegetables,2149,1
5546,citrus fruit,2150,1
5547,newspapers,2150,1
5548,coffee,2151,1
5549,whole milk,2151,1
5550,fruit/vegetable juice,2152,1
5551,pip fruit,2152,1
5552,frozen meals,2153,1
5553,bottled beer,2153,1
5554,root vegetables,2154,1
5555,white bread,2154,1
5556,soap,2155,1
5557,hard cheese,2155,1
5558,packaged fruit/vegetables,2156,1
5559,whole milk,2156,1
5560,photo/film,2156,1
5561,oil,2156,1
5562,other vegetables,2157,1
5563,rolls/buns,2157,1
5564,sausage,2158,1
5565,rolls/buns,2158,2
5566,canned beer,2159,1
5567,onions,2159,1
5568,meat,2160,1
5569,other vegetables,2160,1
5570,sugar,2161,1
5571,bottled water,2161,1
5572,brown bread,2162,1
5573,yogurt,2162,1
5574,specialty bar,2163,1
5575,yogurt,2163,1
5576,bottled beer,2164,1
5577,nut snack,2164,1
5578,liver loaf,2165,1
5579,hamburger meat,2165,1
5580,sausage,2165,1
5581,whole milk,2165,1
5582,whipped/sour cream,2165,1
5583,other vegetables,2165,1
5584,white bread,2165,1
5585,whole milk,2165,1
5586,rolls/buns,2165,1
5587,pip fruit,2166,1
5588,soda,2166,1
5589,bottled beer,2167,1
5590,rolls/buns,2167,1
5591,whole milk,2167,1
5592,finished products,2168,1
5593,whole milk,2168,1
5594,other vegetables,2169,1
5595,yogurt,2169,1
5596,beef,2170,1
5597,newspapers,2170,1
5598,pot plants,2171,1
5599,other vegetables,2171,1
5600,dessert,2172,1
5601,UHT/milk,2172,1
5602,margarine,2172,1
5603,bottled water,2173,1
5604,beverages,2173,1
5605,whole milk,2174,1
5606,other vegetables,2174,1
5607,pot plants,2174,1
5608,UHT/milk,2175,1
5609,whole milk,2175,1
5610,UHT/milk,2176,1
5611,whole milk,2176,1
5612,frozen meals,2177,1
5613,cake bar,2177,1
5614,other vegetables,2178,1
5615,oil,2178,1
5616,root vegetables,2179,1
5617,white bread,2179,1
5618,sliced cheese,2179,1
5619,ice cream,2180,1
5620,soda,2180,1
5621,cream cheese ,2181,1
5622,rolls/buns,2181,1
5623,cream cheese ,2182,1
5624,candy,2182,1
5625,sausage,2183,1
5626,soda,2183,1
5627,semi/finished bread,2184,1
5628,whole milk,2184,1
5629,sausage,2185,1
5630,rolls/buns,2185,1
5631,tropical fruit,2186,2
5632,pot plants,2186,1
5633,berries,2186,1
5634,other vegetables,2186,1
5635,shopping bags,2186,1
5636,butter,2187,1
5637,frozen vegetables,2187,1
5638,beef,2188,1
5639,soda,2188,1
5640,whole milk,2189,1
5641,root vegetables,2189,1
5642,ice cream,2190,1
5643,beef,2190,1
5644,sausage,2191,1
5645,whole milk,2191,1
5646,yogurt,2192,1
5647,pip fruit,2192,1
5648,other vegetables,2193,1
5649,whipped/sour cream,2193,1
5650,pip fruit,2194,1
5651,fruit/vegetable juice,2194,1
5652,citrus fruit,2195,1
5653,beef,2195,1
5654,root vegetables,2196,1
5655,butter,2196,1
5656,whole milk,2197,1
5657,frankfurter,2197,1
5658,domestic eggs,2197,1
5659,flour,2197,1
5660,canned beer,2198,1
5661,whole milk,2198,1
5662,flour,2199,1
5663,sugar,2199,1
5664,canned beer,2200,1
5665,white bread,2200,1
5666,frozen meals,2201,1
5667,chicken,2201,1
5668,whipped/sour cream,2201,1
5669,whole milk,2201,1
5670,bottled beer,2201,1
5671,rolls/buns,2202,1
5672,specialty bar,2202,1
5673,pip fruit,2203,1
5674,rum,2203,1
5675,tropical fruit,2204,1
5676,fruit/vegetable juice,2204,1
5677,sausage,2205,1
5678,margarine,2205,1
5679,soda,2206,1
5680,fruit/vegetable juice,2206,1
5681,sausage,2207,1
5682,seasonal products,2207,1
5683,other vegetables,2208,1
5684,canned beer,2208,1
5685,whole milk,2208,1
5686,white wine,2209,1
5687,rolls/buns,2209,1
5688,yogurt,2210,1
5689,citrus fruit,2210,1
5690,butter,2211,1
5691,red/blush wine,2211,1
5692,dog food,2212,1
5693,canned beer,2212,1
5694,ham,2213,1
5695,bottled beer,2213,1
5696,frankfurter,2214,1
5697,other vegetables,2214,2
5698,onions,2215,1
5699,margarine,2216,1
5700,shopping bags,2216,1
5701,pickled vegetables,2216,1
5702,rolls/buns,2216,1
5703,whole milk,2217,1
5704,red/blush wine,2217,1
5705,shopping bags,2217,1
5706,cream cheese ,2217,1
5707,canned beer,2217,1
5708,tropical fruit,2218,1
5709,frozen vegetables,2218,1
5710,whole milk,2218,1
5711,snack products,2218,1
5712,root vegetables,2219,1
5713,citrus fruit,2219,1
5714,fruit/vegetable juice,2220,1
5715,ice cream,2220,1
5716,frankfurter,2221,1
5717,hamburger meat,2221,1
5718,napkins,2222,1
5719,pastry,2222,1
5720,whole milk,2222,1
5721,soft cheese,2223,1
5722,napkins,2223,1
5723,whole milk,2224,1
5724,fruit/vegetable juice,2224,1
5725,pickled vegetables,2225,1
5726,butter,2225,1
5727,other vegetables,2226,1
5728,napkins,2226,1
5729,white wine,2226,1
5730,rolls/buns,2227,1
5731,soda,2227,1
5732,chocolate,2227,1
5733,soda,2227,1
5734,other vegetables,2228,1
5735,sugar,2228,1
5736,bottled beer,2229,1
5737,pastry,2229,1
5738,cream cheese ,2229,1
5739,yogurt,2230,1
5740,root vegetables,2230,1
5741,oil,2230,1
5742,bottled beer,2231,1
5743,other vegetables,2231,1
5744,sausage,2232,1
5745,yogurt,2232,1
5746,liver loaf,2233,1
5747,frozen meals,2233,1
5748,yogurt,2233,1
5749,domestic eggs,2233,1
5750,flower (seeds),2233,1
5751,coffee,2233,1
5752,butter,2234,1
5753,soda,2234,1
5754,oil,2234,1
5755,canned beer,2235,1
5756,rolls/buns,2235,1
5757,softener,2235,1
5758,bottled water,2236,1
5759,frozen vegetables,2236,1
5760,sausage,2237,1
5761,whole milk,2237,1
5762,yogurt,2238,1
5763,citrus fruit,2238,1
5764,ice cream,2238,1
5765,soups,2238,1
5766,frozen meals,2239,1
5767,canned vegetables,2239,1
5768,whole milk,2240,1
5769,butter,2240,1
5770,white wine,2241,1
5771,canned vegetables,2241,1
5772,flour,2241,1
5773,turkey,2242,1
5774,whipped/sour cream,2242,1
5775,soda,2243,1
5776,cream cheese ,2243,1
5777,tropical fruit,2244,1
5778,pastry,2244,1
5779,other vegetables,2245,1
5780,salt,2245,1
5781,yogurt,2246,1
5782,cookware,2246,1
5783,bottled beer,2247,1
5784,whole milk,2247,1
5785,specialty cheese,2248,1
5786,napkins,2248,1
5787,herbs,2249,1
5788,white bread,2249,1
5789,curd cheese,2249,1
5790,yogurt,2250,1
5791,herbs,2250,1
5792,pastry,2250,1
